hr,temp,gsr,mood
66.75675859253224,33.17286069148479,168.96664464639792,Relaxed
81.5,34.51,385.5,Focused
78.4,33.41,309.3,Relaxed
98.9,35.43,486.9,Focused
52.2,31.69,190.1,Fatigued
90.7,34.22,412.2,Focused
69.3,32.91,192.4,Relaxed
95.4,35.39,511.1,Focused
69.8,33.37,227.8,Relaxed
106.1,35.92,614.6,Stressed
84.1,34.8,385.6,Focused
81.2,33.47,402.0,Stressed
72.8,33.84,316.0,Focused
62.1686955970724,33.40693816469773,265.2333453904391,Relaxed
104.5,35.83,543.6,Stressed
64.6,32.69,194.9,Relaxed
66.4,33.21,191.8,Relaxed
60.8,32.38,164.5,Fatigued
85.2,34.19,432.5,Stressed
65.3,33.06,183.8,Relaxed
59.1,31.6,146.8,Fatigued
93.3,34.91,471.3,Focused
78.9,34.14,339.0,Focused
52.56824331699592,32.19130306178187,150.68023249766355,Fatigued
97.1,35.68,516.8,Focused
98.0,35.15,553.2,Stressed
103.6,35.82,571.5,Stressed
74.7,33.81,296.0,Relaxed
58.4,31.89,176.3,Fatigued
67.1,32.35,227.3,Fatigued
81.9,34.54,325.3,Focused
65.7,32.29,169.5,Fatigued
97.8,35.68,517.2,Focused
82.9,34.48,435.6,Stressed
56.8,30.97,133.3,Fatigued
107.3,36.3,588.7,Stressed
103.59347638054665,35.983100412799764,564.7834467816368,Stressed
82.4,34.39,371.3,Focused
64.7,33.09,201.9,Relaxed
67.9,33.62,228.7,Relaxed
101.5,35.3,578.0,Focused
63.7,31.55,188.7,Fatigued
62.2,31.85,237.6,Fatigued
85.2,34.01,394.5,Stressed
73.5,33.64,226.7,Relaxed
74.2,33.48,250.1,Relaxed
125.43767060380739,36.581321533646666,603.3312806493545,Stressed
53.11917584261639,31.52635825337843,154.85541884988504,Fatigued
99.4,35.53,540.6,Focused
54.40010907604849,32.24310995052549,119.3224420819558,Fatigued
58.4,31.86,170.1,Fatigued
68.6,33.56,205.5,Relaxed
76.5,34.36,314.8,Focused
60.8,32.03,198.2,Fatigued
63.3,32.85,188.3,Relaxed
96.4,34.95,506.1,Stressed
83.6,34.2,354.3,Focused
106.6,36.14,617.9,Stressed
106.9,36.07,619.3,Stressed
105.8,36.28,635.6,Stressed
82.2,34.17,405.8,Stressed
59.0,31.87,170.3,Fatigued
70.2875928110329,32.9022280163158,120.35850744379448,Relaxed
71.9,32.86,311.9,Fatigued
101.9,35.89,566.1,Stressed
76.2,33.77,322.6,Relaxed
97.0,35.48,522.3,Stressed
96.41004517076223,35.4884192731974,701.7162973029615,Stressed
108.9,36.11,613.2,Stressed
80.6,33.63,326.1,Focused
65.4,32.89,185.5,Relaxed
67.4,32.89,274.0,Fatigued
118.59217113849611,36.82723908655147,565.658343599817,Stressed
87.6,34.62,406.3,Focused
70.5,33.78,247.5,Relaxed
94.4,35.34,489.6,Focused
91.2,35.19,461.5,Focused
90.1,34.61,385.2,Focused
67.94783210470294,32.674621472598346,71.14360910840452,Relaxed
81.0,33.89,337.5,Focused
103.0,35.39,581.7,Stressed
91.5,34.47,433.4,Stressed
54.6,31.72,148.1,Fatigued
58.7,31.71,168.8,Fatigued
66.2,32.56,314.4,Fatigued
63.0,32.24,163.7,Fatigued
80.21680300930068,34.803564846351556,445.256700328182,Focused
104.1,35.85,591.7,Stressed
62.6,32.5,185.3,Fatigued
79.2,34.31,372.3,Focused
66.0,33.26,215.7,Relaxed
94.48387931086717,37.24047164045694,550.9069169476555,Stressed
69.5,32.73,307.0,Fatigued
104.6,36.43,639.1,Stressed
76.8,33.65,287.4,Relaxed
81.9,34.29,360.2,Focused
77.9,34.32,326.3,Focused
56.7,31.91,190.2,Fatigued
76.7,34.05,302.0,Relaxed
77.2,33.87,288.7,Focused
65.0,33.0,169.7,Relaxed
65.2,33.62,192.6,Relaxed
55.8,31.79,142.0,Fatigued
67.4,33.3,201.0,Relaxed
107.10149890181488,37.012550716976165,724.1317061219579,Stressed
92.9,34.89,508.6,Stressed
71.9,33.41,302.1,Relaxed
106.4,35.82,595.7,Stressed
102.8,35.24,577.6,Stressed
62.7,32.62,185.3,Relaxed
74.2,32.56,316.9,Fatigued
58.2,31.52,164.2,Fatigued
98.5,35.56,544.9,Focused
111.8,36.0,622.4,Stressed
74.2,33.68,281.1,Relaxed
73.9,33.18,323.2,Fatigued
96.2,35.07,507.5,Focused
67.6,33.51,177.6,Relaxed
59.1,32.62,175.5,Relaxed
108.8,36.34,656.0,Stressed
54.14992475429148,30.80036451300481,86.27151963119921,Fatigued
80.2,33.89,302.4,Focused
75.4,33.54,305.8,Relaxed
65.0,32.27,170.4,Relaxed
86.8,34.35,379.8,Focused
97.3,35.07,541.5,Stressed
107.1,35.9,605.7,Stressed
80.6,33.81,308.8,Relaxed
73.7,32.55,305.8,Fatigued
58.90753869113624,30.79159609387092,169.06278125706595,Fatigued
85.8,33.75,398.6,Stressed
80.04664755667908,34.560766855643635,396.71459277009234,Focused
113.22754317450416,37.069185697896195,731.6234659978783,Stressed
75.4,34.05,334.4,Focused
67.6,32.33,171.9,Fatigued
70.9,33.3,253.3,Relaxed
65.3,32.17,180.5,Fatigued
61.2,32.53,189.1,Fatigued
91.0,34.77,459.5,Focused
82.4,33.66,399.8,Stressed
81.0,34.59,361.0,Focused
79.8,33.85,323.4,Relaxed
130.32216513571785,36.27907132730562,791.2903985389086,Stressed
60.9,31.98,208.2,Fatigued
61.5,32.4,180.6,Fatigued
83.04718507758415,34.35065569906866,350.47720819452786,Focused
68.7,33.11,222.4,Relaxed
59.0,32.15,160.6,Fatigued
106.3,36.28,623.5,Stressed
63.9,32.84,155.9,Relaxed
64.5,32.71,190.1,Relaxed
101.3,35.99,553.9,Stressed
63.7,32.94,165.2,Relaxed
88.4,34.64,441.4,Focused
63.8,31.97,225.1,Fatigued
67.4,32.86,195.0,Relaxed
61.6,31.41,174.3,Fatigued
67.0,32.28,257.1,Fatigued
71.5,33.66,219.1,Relaxed
57.7,31.82,161.2,Fatigued
82.6,34.3,361.1,Focused
98.1,35.46,555.0,Focused
105.5,36.19,594.7,Stressed
56.1,31.82,133.9,Fatigued
56.7,31.76,150.7,Fatigued
72.9,32.6,313.2,Fatigued
79.9,34.21,400.9,Stressed
82.9,34.38,397.6,Focused
69.7,33.04,162.5,Relaxed
108.4,35.99,614.8,Stressed
59.783587366705284,31.189080980511378,257.35658130366954,Fatigued
